region_name,item_description,total_value,regional_total,percentage
Gujarat,SUNPRIDE REF SUNFLOWER OIL 13 KGS BUCKET,3254662855.180000000,2896805871761.100000000,0.112353502
Gujarat,DEGUMMED SOYABEAN OIL OF EDIBLE GRADE,3197863164.980000000,2896805871761.100000000,0.110392733
Gujarat,SUNPRIDE REF SUNFLOWER OIL 750 ML POUCH,2777864918.700000000,2896805871761.100000000,0.095894065
Gujarat,TIRUPATI REFINED COTTON OIL 500 ML POUCH,2733520109.330000000,2896805871761.100000000,0.094363248
Gujarat,TIRUPATI SOYALITE REF SOYA OIL 13 KG NT,2678873196.300000000,2896805871761.100000000,0.092476794
Gujarat,TIRUPATI ACTIVE REF CORN OIL 1 LTR POUCH,2661191453.470000000,2896805871761.100000000,0.091866406
Gujarat,TIRUPATI ACTIVE REF CORN OIL 15 KG NT,2617755014.700000000,2896805871761.100000000,0.090366947
Gujarat,CRUDE PALM OIL OF EDIBLE GRADE,2570693857.640000000,2896805871761.100000000,0.088742359
Gujarat,TIRUPATI REFINED COTTON OIL 15 KG BUCKET,2365594847.680000000,2896805871761.100000000,0.081662181
Gujarat,TIRUPATI REFINED COTTON OIL 2 LTR JAR,2364758779.720000000,2896805871761.100000000,0.081633319
Gujarat,TIRUPATI ACTIVE REF CORN OIL 870 GM PP,2227980495.590000000,2896805871761.100000000,0.076911626
Gujarat,TIRUPATI PREMIUM FILTER GN OIL 5 LTR JAR,2002607754.810000000,2896805871761.100000000,0.069131583
Gujarat,TIRUPATI REFINED GROUNDNUT OIL 15 LTR NT,1996914461.890000000,2896805871761.100000000,0.068935046
Gujarat,RBD PALM STEARIN,1798982005.230000000,2896805871761.100000000,0.062102263
Gujarat,TIRUPATI REF.SUNPRI. OIL POU 16 X 750 ML,1772730102.000000000,2896805871761.100000000,0.061196027
Gujarat,REFINED MAIZE OIL,1398614741.010000000,2896805871761.100000000,0.048281273
Gujarat,GOOD LIFE FILTER GROUNDNUT OIL 1LTRPOUCH,1390409817.500000000,2896805871761.100000000,0.047998032
Gujarat,TIRUPATI REF SOYABEAN OIL 750 ML POUCH,1371311348.770000000,2896805871761.100000000,0.047338738
Gujarat,TIRUPATI MUSTARD OIL 870 GRM BOTTLE,1354971247.140000000,2896805871761.100000000,0.046774665
Gujarat,TIRUPATI PREMIUM FILTER GN OIL 15 LTR NT,1333065721.270000000,2896805871761.100000000,0.046018469
Gujarat,TIRUPATI KACHI GHANI MUSTARD OIL 5LTRJAR,1324094457.210000000,2896805871761.100000000,0.045708774
Gujarat,GOLD CORN BRAND MAIZE CAKE,1234862242.890000000,2896805871761.100000000,0.042628409
Gujarat,MARUTI SUPEROLEIN OIL 15 KG NT,1233023617.210000000,2896805871761.100000000,0.042564938
Gujarat,SUNPRIDE REF SUNFLOWER OIL 15 LTR CHAKLI,1229844907.780000000,2896805871761.100000000,0.042455206
Gujarat,TIRUPATI SOYALITE REF SOYA OIL 5 LTR JAR,1180051082.640000000,2896805871761.100000000,0.040736285
Gujarat,TIRUPATI PREMIUM FILTER GNOIL 435GRM BOT,1170310462.230000000,2896805871761.100000000,0.040400031
Gujarat,MARUTI REFINED COTTON OIL 15 KG NT,1141766581.830000000,2896805871761.100000000,0.039414674
Gujarat,CRUDE SUNFLOWER OIL OF EDIBLE GRADE,1103244636.220000000,2896805871761.100000000,0.038084866
Gujarat,CRUDE SUNFLOWER OIL EDIBLE GRADE,1050458664.740000000,2896805871761.100000000,0.036262653
Gujarat,COMMISSION INCOME,1015600414.500000000,2896805871761.100000000,0.035059319
Gujarat,TIRUPATI ACTIVE REF CORN OIL 15LTRCHAKLI,963397738.090000000,2896805871761.100000000,0.033257242
