region,product,total_qty,total_revenue,qty_percentage,revenue_percentage
Gujarat,COMMISSION INCOME,2,1015600414.500000000,0E-9,0.040000000
Gujarat,TIRUPATI ACTIVE REF CORN OIL 15LTRCHAKLI,0,963397738.090000000,0E-9,0.030000000
Gujarat,CASTOR SEED,0,935999200.000000000,0E-9,0.030000000
Gujarat,COMMERCIAL CASTOR OIL,0,930688751.000000000,0E-9,0.030000000
Gujarat,COLD PRESS CASTOR OIL,0,912941335.500000000,0E-9,0.030000000
Gujarat,TIRUPATI REFINED COTTON OIL 1 LTR BOTTLE,0,898076507.810000000,0E-9,0.030000000
Gujarat,TIRUPATI SOYALITE REF SOYA OIL 1LTRPOUCH,528,885994174.000000000,0.050000000,0.030000000
Gujarat,GOODLIFE REF SUNFLOWER OIL 820GRM POUCH,0,847178490.890000000,0E-9,0.030000000
Gujarat,TIRUPATI PREMIUM FILTERED GN OIL750MLPOU,0,802506202.550000000,0E-9,0.030000000
Gujarat,TIRUPATI KACHIGHANI MUSTARDOIL870GRM BOT,0,772707571.030000000,0E-9,0.030000000
Gujarat,TIRUPATI KACHI GHANI MUSTARD OIL 4.35 KG,0,761540312.750000000,0E-9,0.030000000
Gujarat,TIRUPATI REF SOYABEAN OIL 4.25 KG JAR,0,724880857.680000000,0E-9,0.030000000
Gujarat,TIRUPATI SOYALITE REF SOYAOIL 870GRM BOT,0,714580368.380000000,0E-9,0.020000000
Gujarat,SUNPRIDE REF SUNFLOWER OIL 870 GRM BOT,0,712262934.550000000,0E-9,0.020000000
Gujarat,TIRUPATI SOYALITE REF SOYAOIL 800GRM BOT,0,646863574.800000000,0E-9,0.020000000
Gujarat,TIRUPATI MUSTARD OIL 4.350 KG JAR,0,638553491.180000000,0E-9,0.020000000
Gujarat,MARUTI PALMOLIEN OIL 600 GRM POUCH,0,633381370.330000000,0E-9,0.020000000
Gujarat,CRUDE PALM OLEIN OF EDIBLE GRADE,0,628095000.000000000,0E-9,0.020000000
Gujarat,TIRUPATI SOYALITE REFSOYAOIL 435GRM BOT,0,612521490.560000000,0E-9,0.020000000
Gujarat,TIRUPATI REFINED COTTON OIL 15 KG CHAKLI,0,612166485.270000000,0E-9,0.020000000
Gujarat,TIRUPATI SOYALITE REF SOYAOIL 400GRM BOT,0,597627687.000000000,0E-9,0.020000000
Gujarat,TIRUPATI SOYALITE REF SOYA OIL 1.75 KG J,0,596189806.220000000,0E-9,0.020000000
Gujarat,MARUTI PALMOLIEN OIL 13 KG NT,0,591052580.380000000,0E-9,0.020000000
Gujarat,ADVT.CHARGES FOR TVC,15,585505118.040000000,0E-9,0.020000000
Gujarat,TIRUPATI MUSTARD OIL 435 GRM BOTTLE,0,565297583.140000000,0E-9,0.020000000
Gujarat,RBD PALMOLEIN OF EDIBLE GRADE,0,539360850.260000000,0E-9,0.020000000
Gujarat,TIRUPATI REFINED RICE BRAN OIL 5 LTR JAR,304,527796328.950000000,0.030000000,0.020000000
Gujarat,CRUDE PALM OIL EDIBLE GRADE,0,513858501.000000000,0E-9,0.020000000
Gujarat,TIRUPATI ACTIVE REF CORN OIL 750ML POUCH,0,478891880.120000000,0E-9,0.020000000
Gujarat,GOOD LIFE FILTER GROUNDNUT OIL 15 LTR NT,0,461967019.970000000,0E-9,0.020000000
Gujarat,TIRUPATI REFINED COTTON OIL 500ML BOTTLE,0,442460173.670000000,0E-9,0.020000000
Gujarat,PALM FATTY ACID,0,439631586.820000000,0E-9,0.020000000
Gujarat,ADVT. CHARGES FOR DIGITAL,17,434202585.980000000,0E-9,0.010000000
Gujarat,CRUDE SUNFLOWER OIL,0,421379801.180000000,0E-9,0.010000000
Gujarat,TIRUPATI SOYALITE REF SOYA OIL 15 LTR NT,0,412761612.390000000,0E-9,0.010000000
Gujarat,CASTOR DE OIL CAKE HIGH PROTEINS,0,406770789.720000000,0E-9,0.010000000
Gujarat,SPENT EARTH,0,322363307.500000000,0E-9,0.010000000
Gujarat,TIRUPATI PREMIUMFILTERED GN OIL 870 GM P,0,321413838.530000000,0E-9,0.010000000
Gujarat,TIRUPATI PREMIUM FILTER GNOIL 1LTRBOTTLE,0,290104789.180000000,0E-9,0.010000000
Gujarat,FOREX DIFFERENCE,4,263146921.080000000,0E-9,0.010000000
Gujarat,FILTER GROUNDNUT OIL,0,260673024.900000000,0E-9,0.010000000
Gujarat,PALE PRESS GRADE CASTOR OIL,0,257050000.000000000,0E-9,0.010000000
Gujarat,TIRUPATI PREMIUM FILTER GN OIL 1LTRPOUCH,368,254622833.620000000,0.040000000,0.010000000
Gujarat,"12, HYDROXY STEARIC ACID (12-HSA)",0,232365000.000000000,0E-9,0.010000000
