customer_id,customer_name
105024,JALARAM PROVI & JANARAL-RAVI RESIDE
105023,JALARAM PROVI - KOTHARIYA SOLVNT
109727,JALARAM PROVISION STORES (MADHAPAR)
105026,JALARAM SALES - KOTHARIYA SOLVANT
104230,JALARAM TRADERS  BHAYANDAR
113142,JALARAM TRADERS  SOJITRA
115048,JALARAM TRADING
152968,JALIYAN ENTERPRISE
100873,JALIYAN OIL DEPO
106710,JALIYAN OIL TRADERS
109592,JALIYAN PROVISION STORE (KOT.SOL)
110749,JAMNA OIL INDUSTRY
113896,JANKI ENTERPRISES
100879,JANKI TRADERS
100880,JANKI TRADERS
109966,JANTA KARIYANA STORE (KALAVAD)
109986,JANTA PROVISION STORE (VIRNAGAR)
105030,JANTA PROVI STROES -MOTA MAVA
113036,JANTA STORES
500403,Jasmore & Co. S.A
104232,JAWAHAR OIL CENTER
109715,JAY AMBE GENERAL STORE (KALAWADROAD
114281,JAY AMBE GENERAL STORES
114649,JAY AMBE SALES
109035,JAY AMBE TRADERS
100900,JAY AMBE TRADING CO
107819,JAY ANKUR TRADERS
100942,JAYANTILAL K SHAH
109081,JAYANTILAL NYALCHAND AND CO
100901,JAY BABA RAMDEV TRADERS
100902,JAY BHAGWAN TRADING CO
113910,JAYBHAVANI AGRO PROTEINS
112289,JAY BHAVANI TRADING COMPANY
114218,JAY BHOLE TRADING CO
110980,JAY BOLENATH MARKETING
114355,JAYENDRAKUMAR RAMLAL KHATRI
100907,JAY ENTERPRISE
114778,JAYESH AGENCY
100947,JAYESH JINNING FACTORY
108712,JAY GOGAJI TRADERS
100912,JAY GOVARDHAN PROV STORE KOYALI
100915,JAY HIND TRADING CO
105031,JAY JALARAM PROVI - BRAMHASAMAJ NI
109755,JAY JALARAM PROVISION STORE
100925,JAY JULELAL TRADRES.
114369,JAY KUBER TRADERS
114525,JAY LAXMI TRADERS
101291,JAY MALGURU TRADERS
152738,JAY MATAJI ENTERPRISE
114678,JAY NARAYAN TRADERS
114648,JAYNATH DISTRIBUTORS PRIVATE LIMITE
153174,JAY OIL INDUSTRIES
111383,JAY PADMAVATI TRADING
105033,"JAY PROVI - JALARAM 2, UNIVERCITY R"
112466,JAYSHREE INDUSTRIES
152836,JAY SOMNATH OIL INDUSTRIES
152974,JAY TRADERS
104701,JAY TRADERS -MANAVADAR
115038,JB OILS PRIVATE LIMITED
110681,JENTILAL NANAJIBHAI (CHUNARAVAD)
114046,JHULELAL TRADING
111706,JIGNESH TRADERS
100962,JITENDRAKUMAR BHAGVANDAS DHARMANI
100960,JITENDRA OIL TRADERS
100964,JIVAN ENTERPRISES
115091,J.J.ENTERPRISE
152924,J.K.BOX MANUFACTURERS
500308,"JM COMMERCE CO., LTD"
108642,J M ENTRPRISE
100814,J P BROTHERS
152899,J P OIL INDUSTRIES
152950,J P SALES AGENCIES
153146,J R Foods & Beverages (Potato Chips
500371,JSC “BELHIMSET
114577,J S PARTNERS
500360,JV YUKOIL LLC
112760,JYOTI SOAP FACTORY TRADING VIBHAG
109941,KABIR GENERAL STORE (SUBHASHNAGAR)
100990,KABRA AND COMPANY
100991,KABRA TRADERS
153249,KABRA TRADERS
100994,KADI TALUKA KHARID VECHAN SANG
100997,KAILASH AGENCY DAHEJ
110318,KAILASH KIRANA STORE
114551,KAILASH TRADERS
101001,KAILASH TRADING CO
111977,KAILASH TRADING CO.
101002,KAILASH TRADING COMPANY
115050,KALINDI ENTERPRISE
101006,KALOL SHAHKARI KHARID VECHAN SANGH
114282,KAMAL OIL DEPOT
101009,KAMAL TRADERS
114495,KAMAL TRADING COMPANY
101010,KAMAL TRADING CO SIDDHPUR
114823,KAMLA GENERAL STORE
101026,KANAIYALAL MADHAVDAS
109750,KANAIYA PROVISION STORE
101019,KANAIYA  STORES
101022,KANAIYA TRADERS
101024,KANAIYA TRADING CO
101027,KANAK CORPORATION
109216,KANAK OIL INDUSTRIES
108848,KANERIYA OIL INDUSTRIES-ADRAJ
152961,KANTILAL MOTILAL & CO
113450,KANUBHAI GORDHANDAS
105045,KAPURCHAND CHAKU BHAI.PADADHARI
114622,KARAN ENTERPRISE
500338,KARINA PLÁSTICOS LTDA
112326,KARISHMA TRADING CORPORATION
